,title,year,budget,director,actor,companies,genres,plot_keywords,genresOneHot,language,country,score
0,Avatar,2009.0,0.9479479479479479,0.733,0.633,0.64,0.621,culture clash|future|space war|space colony|society|space travel|futuristic|romance|space|alien|tribe|alien planet|cgi|marine|soldier|battle|love affair|anti war|power relations|mind and soul|3d,"[ 1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.2
1,Pirates of the Caribbean: At World's End,2007.0,1.0,0.653,0.669,0.657,0.621,ocean|drug abuse|exotic island|east india trading company|love of one's life|traitor|shipwreck|strong woman|ship|alliance|calypso|afterlife|fighter|pirate|swashbuckler|aftercreditsstinger,"[ 1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.9
2,Spectre,2015.0,0.8749553411932833,0.691,0.65,0.637,0.631,spy|based on novel|secret agent|sequel|mi6|british secret service|united kingdom,"[ 1.  1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",Français,United Kingdom,6.3
3,The Dark Knight Rises,2012.0,0.9614271938283511,0.78,0.663,0.679,0.639,dc comics|crime fighter|terrorist|secret identity|burglar|hostage drama|time bomb|gotham city|vigilante|cover-up|superhero|villainess|tragic hero|terrorism|destruction|catwoman|cat burglar|imax|flood|criminal underworld|batman,"[ 1.  0.  0.  0.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.6
4,John Carter,2012.0,1.0,0.708,0.637,0.637,0.621,based on novel|mars|medallion|space travel|princess|alien|steampunk|martian|escape|edgar rice burroughs|alien race|superhuman strength|mars civilization|sword and planet|19th century|3d,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.1
5,Spider-Man 3,2007.0,0.8599929996499825,0.664,0.651,0.618,0.621,dual identity|amnesia|sandstorm|love of one's life|forgiveness|spider|wretch|death of a friend|egomania|sand|narcism|hostility|marvel comic|sequel|superhero|revenge,"[ 1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.9
6,Tangled,2010.0,1.0,0.74,0.669,0.661,0.641,hostage|magic|horse|fairy tale|musical|princess|animation|tower|blonde woman|selfishness|healing power|based on fairy tale|duringcreditsstinger|healing gift|animal sidekick,"[ 0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.4
7,Avengers: Age of Ultron,2015.0,1.0,0.737,0.679,0.694,0.621,marvel comic|sequel|superhero|based on comic book|vision|superhero team|duringcreditsstinger|marvel cinematic universe|3d,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.3
8,Harry Potter and the Half-Blood Prince,2009.0,1.0,0.677,0.717,0.685,0.624,witch|magic|broom|school of witchcraft|wizardry|apparition|teenage crush|werewolf,"[ 0.  1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,7.4
9,Batman v Superman: Dawn of Justice,2016.0,1.0,0.649,0.6,0.634,0.621,dc comics|vigilante|superhero|based on comic book|revenge|super powers|clark kent|bruce wayne|dc extended universe,"[ 1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.7
10,Superman Returns,2006.0,1.0,0.665,0.588,0.655,0.621,saving the world|dc comics|invulnerability|sequel|superhero|based on comic book|kryptonite|super powers|superhuman strength|lex luthor,"[ 1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.4
11,Quantum of Solace,2008.0,0.8887751924189171,0.676,0.648,0.638,0.629,killing|undercover|secret agent|british secret service,"[ 1.  1.  0.  0.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,6.1
12,Pirates of the Caribbean: Dead Man's Chest,2006.0,0.74006683995544,0.653,0.669,0.657,0.621,witch|fortune teller|bondage|exotic island|monster|captain|card game|east india trading company|compass|ship|daughter|pirate|swashbuckler|aftercreditsstinger,"[ 1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Jamaica,7.0
13,The Lone Ranger,2013.0,1.0,0.653,0.617,0.611,0.64,texas|horse|survivor|texas ranger|partner|outlaw|escape|lawyer|train|lone ranger|comanche|the lone ranger|tonto,"[ 1.  1.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,5.9
14,Man of Steel,2013.0,0.8818897637795275,0.649,0.638,0.674,0.621,saving the world|dc comics|superhero|based on comic book|superhuman|alien invasion|reboot|super powers|dc extended universe,"[ 1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,6.5
15,The Chronicles of Narnia: Prince Caspian,2008.0,1.0,0.675,0.625,0.631,0.624,based on novel|fictional place|brother sister relationship|lion|human being|wretch|leap in time|matter of life and death|faith|uncle|narnia|fantasy world,"[ 0.  1.  1.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,Czech Republic,6.3
16,The Avengers,2012.0,0.845708775313404,0.737,0.679,0.669,0.621,new york|shield|marvel comic|superhero|based on comic book|alien invasion|superhero team|aftercreditsstinger|duringcreditsstinger|marvel cinematic universe,"[ 1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.4
17,Pirates of the Caribbean: On Stranger Tides,2011.0,1.0,0.626,0.634,0.627,0.621,sea|captain|mutiny|sword|prime minister|sailing|silver|ship|duke|mermaid|pirate|soldier|battle|swashbuckler|aftercreditsstinger|3d,"[ 1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.4
18,Men in Black 3,2012.0,0.8649951783992286,0.622,0.636,0.624,0.618,time travel|time machine|alien|fictional government agency|seeing the future|changing history,"[ 1.  0.  0.  1.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.2
19,The Hobbit: The Battle of the Five Armies,2014.0,1.0,0.733,0.695,0.681,0.621,corruption|elves|dwarves|orcs|middle-earth (tolkien)|hobbit|dragon|battle|unlikely friendship|epic battle|sword and sorcery,"[ 1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,New Zealand,7.1
20,The Amazing Spider-Man,2012.0,0.8264223722275795,0.673,0.656,0.626,0.621,loss of father|vigilante|serum|marvel comic|scientific experiment|spider bite|masked vigilante|reboot|super powers|genetic engineering|social outcast|duringcreditsstinger,"[ 1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,6.5
21,Robin Hood,2010.0,0.7687861271676301,0.672,0.662,0.631,0.622,robin hood|archer|knight|sherwood forest|bow and arrow|middle ages|medieval|king of england,"[ 1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,United Kingdom,6.2
22,The Hobbit: The Desolation of Smaug,2013.0,0.9803149606299213,0.733,0.695,0.673,0.623,elves|dwarves|orcs|hobbit|dragon|wizard|sword and sorcery,"[ 0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,New Zealand,7.6
23,The Golden Compass,2007.0,0.59997999899995,0.61,0.622,0.616,0.623,england|compass|experiment|lordship|uncle|polar bear|orphan|animal|based on young adult novel,"[ 0.  1.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",Íslenska,United Kingdom,5.8
24,King Kong,2005.0,1.0,0.733,0.626,0.667,0.638,film business|screenplay|show business|film making|film producer|exotic island|monster|indigenous|ship|dinosaur,"[ 1.  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.]",English,New Zealand,6.6
25,Titanic,1997.0,1.0,0.733,0.721,0.664,0.645,shipwreck|iceberg|ship|panic|titanic|ocean liner|epic|rich woman - poor man|love|disaster|tragic love|class differences|imax|star crossed lovers|steerage|salvage|rich snob|3d|1910s,"[ 0.  0.  0.  0.  0.  1.  1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0.
  0.]",English,United States of America,7.5
