budget,director,actor,companies,genres,score
0.947947947947948,0.733,0.633,0.64,0.621,7.2
1.0,0.653,0.669,0.657,0.621,6.9
0.8749553411932833,0.691,0.65,0.637,0.631,6.3
0.9614271938283512,0.78,0.6629999999999999,0.679,0.639,7.6
1.0,0.708,0.637,0.637,0.621,6.1
0.8599929996499825,0.664,0.6509999999999999,0.618,0.621,5.9
1.0,0.74,0.669,0.6609999999999999,0.6409999999999999,7.4
1.0,0.737,0.679,0.6940000000000001,0.621,7.3
1.0,0.677,0.7170000000000001,0.685,0.624,7.4
1.0,0.649,0.6,0.634,0.621,5.7
1.0,0.665,0.588,0.655,0.621,5.4
0.8887751924189171,0.6759999999999999,0.648,0.638,0.629,6.1
0.74006683995544,0.653,0.669,0.657,0.621,7.0
1.0,0.653,0.617,0.611,0.64,5.9
0.8818897637795275,0.649,0.638,0.674,0.621,6.5
1.0,0.675,0.625,0.631,0.624,6.3
0.845708775313404,0.737,0.679,0.669,0.621,7.4
1.0,0.626,0.634,0.627,0.621,6.4
0.8649951783992286,0.622,0.636,0.624,0.618,6.2
1.0,0.733,0.695,0.6809999999999999,0.621,7.1
0.8264223722275795,0.6729999999999999,0.6559999999999999,0.626,0.621,6.5
0.7687861271676301,0.672,0.662,0.631,0.622,6.2
0.9803149606299212,0.733,0.695,0.6729999999999999,0.623,7.6
0.5999799989999499,0.61,0.622,0.616,0.623,5.8
1.0,0.733,0.626,0.667,0.638,6.6
1.0,0.733,0.721,0.664,0.645,7.5
1.0,0.67,0.664,0.685,0.621,7.1
0.8032786885245902,0.637,0.614,0.613,0.621,5.5
0.5355484101464809,0.665,0.664,0.644,0.621,6.5
0.7685631629701061,0.691,0.643,0.624,0.622,6.9
1.0,0.664,0.6509999999999999,0.618,0.621,6.7
0.7834645669291339,0.7,0.665,0.7020000000000001,0.621,6.8
0.7687861271676301,0.6729999999999999,0.652,0.624,0.624,6.4
0.7772001485332343,0.617,0.653,0.627,0.621,6.3
0.7834645669291339,0.7,0.6409999999999999,0.679,0.6409999999999999,7.0
0.5995995995995996,0.64,0.601,0.629,0.621,6.0
0.8393896807869906,0.64,0.618,0.621,0.621,5.8
0.7834645669291339,0.664,0.619,0.627,0.624,5.7
0.7992371009837382,0.6729999999999999,0.654,0.633,0.621,6.5
0.6531791907514449,0.635,0.627,0.63,0.621,6.3
0.5262285157792225,0.685,0.611,0.679,0.631,5.8
0.5262285157792225,0.625,0.628,0.631,0.622,5.1
0.7687861271676301,0.76,0.6629999999999999,0.679,0.632,7.6
0.7997997997997998,0.588,0.635,0.614,0.62,5.9
0.6784565916398714,0.696,0.622,0.6609999999999999,0.617,7.3
0.7834645669291339,0.6759999999999999,0.6559999999999999,0.653,0.623,6.7
1.0,0.665,0.6659999999999999,0.648,0.621,7.5
0.7440944881889764,0.698,0.6729999999999999,0.665,0.621,7.4
0.7637795275590551,0.665,0.616,0.631,0.62,5.5
0.4094488188976378,0.693,0.7040000000000001,0.684,0.657,7.3
0.5761078998073218,0.665,0.642,0.637,0.627,6.2
0.7047244094488189,0.67,0.618,0.652,0.621,6.7
0.5130681967730898,0.64,0.602,0.62,0.621,6.1
0.8220403078702674,0.6970000000000001,0.657,0.664,0.622,5.7
0.62486602357985,0.66,0.638,0.679,0.636,6.6
0.7107039537126326,0.67,0.6579999999999999,0.679,0.626,6.7
0.7363083164300203,0.66,0.652,0.652,0.621,6.6
0.7997953463540508,0.708,0.743,0.713,0.6409999999999999,7.8
0.4666399986666,0.617,0.625,0.622,0.626,6.1
0.7997997997997998,0.613,0.62,0.607,0.621,5.6
0.7997997997997998,0.6920000000000001,0.642,0.639,0.662,6.6
0.6284387388352983,0.647,0.614,0.62,0.621,5.2
0.7160243407707909,0.677,0.638,0.599,0.622,5.5
0.8689638437272507,0.675,0.648,0.621,0.624,6.7
0.7079107505070994,0.665,0.664,0.652,0.62,6.4
0.8220403078702674,0.78,0.662,0.6759999999999999,0.639,8.2
0.6996996996996997,0.773,0.738,0.722,0.631,7.7
0.6996996996996997,0.6,0.597,0.659,0.632,6.0
0.6218356542243182,0.664,0.67,0.7020000000000001,0.621,7.4
0.4472666017424262,0.737,0.653,0.636,0.6409999999999999,7.0
1.0,0.622,0.649,0.544,0.631,5.1
0.6440806157405348,0.552,0.588,0.603,0.621,5.2
0.6957403651115619,0.643,0.631,0.637,0.626,5.9
0.5833124989582813,0.614,0.623,0.613,0.62,5.3
0.710901425416583,0.68,0.6579999999999999,0.667,0.619,7.6
1.0,0.637,0.608,0.619,0.622,5.9
0.6996996996996997,0.5870000000000001,0.605,0.611,0.622,5.6
0.62486602357985,0.773,0.727,0.679,0.642,8.0
0.6957403651115619,0.664,0.6679999999999999,0.6409999999999999,0.635,6.7
0.7687861271676301,0.664,0.665,0.7020000000000001,0.621,6.6
0.6528447444551592,0.58,0.629,0.625,0.638,5.8
0.7189319413772335,0.7,0.6579999999999999,0.636,0.626,7.0
0.6787793615739811,0.68,0.655,0.645,0.632,7.3
0.6850393700787402,0.59,0.613,0.5870000000000001,0.633,5.9
0.6787793615739811,0.67,0.649,0.7020000000000001,0.621,7.6
0.6339113680154143,0.568,0.604,0.659,0.628,6.0
0.6784565916398714,0.7,0.635,0.616,0.628,6.2
0.658703071672355,0.705,0.78,0.6609999999999999,0.628,7.8
0.6335583413693346,0.71,0.6920000000000001,0.6859999999999999,0.631,7.1
0.8249431065096157,0.6920000000000001,0.645,0.636,0.631,6.4
0.6551724137931034,0.613,0.616,0.595,0.621,4.9
0.6339113680154143,0.713,0.679,0.6779999999999999,0.632,7.5
1.0,0.613,0.607,0.596,0.62,5.9
0.6787793615739811,0.693,0.706,0.687,0.621,7.9
0.658703071672355,0.78,0.6659999999999999,0.667,0.639,8.1
0.6146435452793835,0.78,0.698,0.682,0.625,8.1
0.04665314401622718,0.65,0.65,0.65,0.624,6.5
0.9614271938283512,0.733,0.695,0.6729999999999999,0.621,7.0
0.2635379061371841,0.552,0.616,0.631,0.629,6.6
0.6663255772567513,0.7340000000000001,0.6809999999999999,0.638,0.639,7.3
0.4209459637301608,0.7070000000000001,0.664,0.624,0.621,7.1
0.5712754555198285,0.684,0.65,0.639,0.621,6.6
0.5761078998073218,0.626,0.634,0.605,0.629,5.8
0.5915336056442629,0.657,0.615,0.597,0.634,5.5
0.6754563894523327,0.64,0.652,0.639,0.618,6.5
0.533309998833275,0.62,0.604,0.659,0.628,6.0
0.6348884381338742,0.7,0.638,0.632,0.621,6.3
0.5534119328331547,0.63,0.645,0.635,0.621,5.8
0.5953757225433526,0.613,0.6459999999999999,0.612,0.624,6.2
1.0,0.64,0.628,0.643,0.675,6.6
0.4999749987499375,0.64,0.601,0.634,0.621,6.6
0.7749268512266486,0.653,0.627,0.616,0.6559999999999999,5.6
0.4999749987499375,0.677,0.7170000000000001,0.685,0.628,7.4
0.7233681145353069,0.665,0.7170000000000001,0.7070000000000001,0.624,7.5
0.6663255772567513,0.637,0.627,0.631,0.617,6.2
0.4999749987499375,0.684,0.649,0.645,0.623,6.9
0.7233681145353069,0.6729999999999999,0.6609999999999999,0.652,0.622,6.7
0.4999749987499375,0.75,0.7070000000000001,0.679,0.629,7.5
0.7233681145353069,0.78,0.662,0.6890000000000001,0.645,7.5
0.6663255772567513,0.632,0.622,0.659,0.6409999999999999,6.2
